Methods,BBBP,Clintox,MUV,HIV,BACE,Tox21,SIDER,Avg.
#task,1,2,17,1,1,12,27,
GIN,65.8 ± 4.5,58.0 ± 4.4,71.8 ± 2.5,75.3 ± 1.9,70.1 ± 5.4,74.0 ± 0.8,57.3 ± 1.6,67.5
GPS,64.8 ± 3.0,87.2 ± 0.9,69.8 ± 3.8,73.1 ± 3.3,78.0 ± 3.0,74.5 ± 0.6,60.8 ± 0.6,72.6
Hu et. al,70.8 ± 1.5,72.6 ± 1.5,81.3 ± 2.1,79.9 ± 0.7,84.5 ± 0.7,78.7 ± 0.4,62.7 ± 0.8,75.8
GraphLoG,72.3 ± 0.9,74.7 ± 2.2,74.2 ± 1.8,75.4 ± 0.6,82.2 ± 0.9,75.1 ± 0.7,61.2 ± 1.1,73.6
D-SLA,72.6 ± 0.8,80.2 ± 1.5,76.6 ± 0.9,78.6 ± 0.4,83.8 ± 1.0,76.8 ± 0.5,60.2 ± 1.1,75.5
MolCLR,73.5 ± 0.4,90.4 ± 1.7,75.5 ± 1.8,77.6 ± 3.2,83.5 ± 1.8,76.7 ± 2.1,60.7 ± 5.7,76.8
GraphMVP,72.4 ± 1.6,79.1 ± 2.8,77.7 ± 0.6,77.0 ± 1.2,81.2 ± 0.9,75.9 ± 0.5,63.9 ± 1.2,75.3
GROVER,69.5 ± 0.1,76.2 ± 3.7,67.3 ± 1.8,68.2 ± 1.1,81.0 ± 1.4,73.5 ± 0.1,65.4 ± 0.1,71.6
GEM,71.8 ± 0.6,89.7 ± 2.0,77.0 ± 1.5,78.0 ± 1.4,84.9 ± 1.1,78.2 ± 0.3,67.2 ± 0.6,78.1
ImageMol,73.9 ± 0.2,85.1 ± 1.4,82.5 ± 0.8,79.7 ± 0.2,83.9 ± 0.5,77.3 ± 0.1,66.0 ± 0.1,78.3
KANO,69.9 ± 1.9,90.7 ± 2.2,74.7 ± 2.0,75.7 ± 0.3,82.7 ± 0.9,75.8 ± 0.5,60.2 ± 1.4,75.7
KPGT,71.4 ± 0.7,88.8 ± 2.9,75.7 ± 1.4,77.9 ± 1.2,81.8 ± 2.7,78.5 ± 0.5,64.7 ± 1.0,77.0
MoLFormer,70.9 ± 1.0,91.1 ± 0.9,80.5 ± 1.5,76.7 ± 0.4,83.6 ± 1.1,77.3 ± 0.4,64.9 ± 0.7,77.8
Uni-Mol,72.9 ± 0.6,91.9 ± 1.8,82.1 ± 1.3,80.8 ± 0.3,85.7 ± 0.2,79.6 ± 0.5,65.9 ± 1.3,79.8
Ours_GIN,74.1 ± 0.6,95.7 ± 1.2,81.2 ± 0.5,79.8 ± 0.3,85.0 ± 1.1,77.5 ± 0.3,66.7 ± 0.8,80.1
Ours_GPS,73.6 ± 0.7,95.1 ± 0.5,81.5 ± 0.8,80.2 ± 0.5,86.1 ± 1.3,79.0 ± 0.6,68.7 ± 0.2,80.6
