smiles,BBBP,group
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,0,training
CCCCCCCCCCCCCCOS(=O)(=O)O,0,training
CSC(=O)C1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)C3(F)[C@@H](O)C[C@@]21C,1,training
CCN(CC)C(=O)C1C(C(=O)N(CC)CC)[C@H]2C=C[C@@H]1C2,1,training
CC(=O)OC(c1ccccc1)C1CCCCN1,1,training
CCCCCCCCCCC[C@H](C[C@@H]1OC(=O)C1CCCCCC)OC(=O)C(CC(C)C)NC=O,0,training
CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,1,training
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1,training
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,0,training
CN1C(=O)C=NC(=C2CCCCC2)c2cc([N+](=O)[O-])ccc21,1,training
CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,1,training
CN(C)c1nc(N(C)C)nc(N(C)C)n1,0,training
O=c1[nH]c(C2=CC(N3CCC(c4ccccc4)CC3)CC2)nc2c(Cl)cccc12,1,training
CC1(C)O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)C=CC5(C)[C@@]4(Cl)[C@@H](Cl)CC3(C)[C@]2(C(=O)CF)O1,1,training
CC(=O)N1CCN(c2ccc(OCC3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,0,training
COc1ccc(C(C)C)cc1CNC1CCCNC1c1ccccc1,1,training
O=C(O)CCNC(=O)c1ccc(N=Nc2ccc(O)c(C(=O)O)c2)cc1,0,training
Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1,training
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1,0,training
CN1CCC(=C2c3ccccc3C(O)c3ccccc32)CC1,1,training
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,1,training
CC#C[C@]1(O)CC[C@H]2C3=C(C4=C(CC3)CC(=O)CC4)C(c3ccc(N(C)C)cc3)C[C@@]21C,0,training
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0,training
CCCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1,training
O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,1,training
C=CCN1CCc2nc(N)sc2CC1,1,training
O=C1CN2C(=O)CCC2N1,1,training
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,1,training
C#CC1(O)CC[C@@H]2[C@H]3CCC4=Cc5oncc5CC4(C)[C@H]3CCC21C,0,training
COc1cccc2c(O)c3c(c(O)c12)C(=O)C1=C(C[C@@](O)(/C(C)=N\NC(=O)c2ccccc2)C[C@@H]1O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1)C3=O,0,training
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CC#N)[C@H]2SC1,0,training
CC1=C2CC(=O)C=C[C@]2(C)[C@@H]2C(C1)[C@@H]1CC[C@](O)(C(=O)COC(=O)CCC(=O)O)[C@@]1(C)C[C@@H]2O,1,training
CC(C)N[C@@H](C)[C@@H](O)c1cccc2ccccc12,1,training
C=C1c2ccccc2CN(CCCN(C)C)c2ccccc21,1,training
CCC(Br)(CC)C(=O)NC(=O)NC(C)=O,1,training
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)c3c(-c4ccccc4Cl)noc3C)C2SC1,0,training
[N]C(=N)N,0,training
Nc1nc(=O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2,0,training
CC(C)(C)CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)C=CC4(C)C3C(O)CC21C,1,training
COc1ccc2c3c1OC1[C@@H](O)CCC4C(C2)N(C)CC[C@@]341,1,training
CCS(=O)(=O)n1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(C1CCOCC1)CC2,0,training
CCCN1CCC[C@@H]2Cc3[nH]ncc3C[C@H]21,1,training
CN1CCN2c3ccccc3Cc3ccccc3C2C1,1,training
C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0,training
C[C@@H]1O[C@H](O[C@@H]2C[C@H](O)C3(CO)[C@@H]4[C@H](O)CC5(C)[C@H](C6=CC(=O)OC6)CCC5(O)[C@@H]4CCC3(O)C2)[C@H](O)[C@H](O)[C@@H]1O,0,training
Oc1ccc2c(c1)C13CCCCC1C(C2)N(CCc1ccccc1)CC3,1,training
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,0,training
CCC1(O)CCN2CCc3ccc(C)cc3C2C1,1,training
C#CC1(O)CCC2C3C(C)C=C4CC(=O)CCC4C3CCC21C,1,training
CCNc1cccnc1N1CCN(C(=O)c2cc3cc(OC)ccc3[nH]2)CC1,0,training
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,0,training
Cn1c(O)c/c(=[N+]2/CCC[C@H](N)C2)n(Cc2ccccc2C#N)c1=O,0,training
COc1ccccc1OCCNC[C@@H](O)c1ccc(C)cc1S(N)(=O)=O,1,training
CC1(C)S[C@@H]2C(NC(=O)C(N=[N+]=[N-])c3ccccc3)C(=O)N2C1C(=O)O,0,training
CON=CC1=CCCN(C)C1,1,training
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,0,training
NC(=O)C1=C([O-])N([C@@H]2O[C@H](CO)[C@H](O)[C@@H]2O)C=[N+]1,0,training
CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,1,training
CN(C)CCOC(=O)COc1ccc(Cl)cc1,1,training
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,0,training
CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1(C)C,0,training
CC(C)NCC(O)c1cc(O)cc(O)c1,0,training
CC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,1,training
COc1ccc(N2CC(CN3CCC(O)(c4ccc5c(c4)OCO5)CC3)OC2=O)cc1,1,training
Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,0,training
CC1=C2CC(=O)C=C[C@]2(C)[C@@H]2[C@@H](C1)[C@@H]1CC[C@](O)(C(=O)COC(=O)CCC(=O)O)[C@@]1(C)C[C@@H]2O,1,training
C[C@@H]1C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl,1,training
Cc1ccc2c(c1)C1CN(C)CCC1N2,1,training
CC(C)c1cccc(C(C)C)c1O,1,training
CC1(C)S[C@@H]2C(NC(=O)C(NC(=O)c3ccc(-c4ccc(S(=O)(=O)N(CCO)CCO)cc4)[nH]c3=O)c3ccc(O)cc3)C(=O)N2C1C(=O)O,0,training
Cc1cccc(C=NN2CCN(C(c3ccccc3)c3ccccc3)CC2)n1,1,training
Cc1cccc(N2CCN(CCc3cc(C)[nH]n3)CC2)c1,1,training
Oc1ccc2c(c1)OCO2,0,training
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,0,training
CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1,training
CCCNC(Cc1cccc2[nH]c(O)cc12)NCCC,1,training
CC(C)Nc1cccnc1N1CCNCC1,0,training
CC(=O)Cn1nc(-c2c(-c3ccccc3)nn3ccccc23)ccc1=O,0,training
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,1,training
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)OC1OC(=O)c2ccccc21,0,training
O=C(O[C@@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,0,training
CCN(CC)CCOC(=O)C(Cc1ccc2ccccc2c1)C[C@H]1CCCO1,1,training
O=C(CCCN1CCN(C(=O)OC2CCCCC2)CC1)c1ccc(F)cc1,1,training
O=C(CCCN1CCC(O)(c2cccc(Cl)c2)CC1)c1ccc(F)cc1,1,training
O=P1(N(CCCl)CCCl)NCCCO1,0,training
C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,1,training
CN(CCCN1c2ccccc2CCc2ccccc21)CC(=O)c1ccc(Cl)cc1,1,training
CCCCNC(=O)OCC(C)(CCC)COC(N)=O,1,training
CN1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@@H](CN2CCCC2)C1,1,training
CCCCCNC12C=CC(=O)C3Oc4c(O)ccc5c4C31CCN(C)C2C5,1,training
CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1C[C@@H](O)CC(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,1,training
O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2ccsc2C1CN1CCCC1,1,training
OCC(O)C(O)C(O)C1=COC(C(Cl)(Cl)Cl)O1,1,training
O=C(CCCc1ccccc1)OCC(COC(=O)CCCc1ccccc1)OC(=O)CCCc1ccccc1,0,training
O=S1(=O)CCN(CN2CCS(=O)(=O)NC2)CN1,0,training
CC(=O)OCOC(=O)C1N2C(=O)C(NC(=O)Cc3ccccc3)[C@H]2SC1(C)C,0,training
C=C[C@@H]1CNCC[C@H]1CCCc1ccnc2ccc(OC)cc12,1,training
CC(C)=O,1,training
CC(CN(C)C)OC(C)(c1ccccc1)c1ccc(Cl)cc1,0,training
c1ccc(C2(c3ccccc3)OCC(C3CCCCN3)O2)cc1,1,training
CCN[C@@H]1C[C@@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,0,training
CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,1,training
O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,0,training
