smiles,CHEMBL219_Ki,group
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2cc(Br)ccc2o1,-3.490000642,training
CN(CCCCN1CCN(c2ncccn2)CC1)C1=Nc2ccccc2OC1,-2.746634199,training
COc1ccccc1N1CCN(CNC(=O)c2cccc(Cl)c2)CC1,-1.180125875,training
CCn1ncc2c1-c1c(C)sc(C)c1CCC2,-1.342422681,training
COc1ccccc1N1CCCN(CCCCNC(=O)c2ccc(CCO)cc2)CC1,-2.873901598,training
Cc1ccc2c(c1)C(N1CCN(C)CC1)=Nc1cccnc1N2,-1.556302501,training
COc1cc(Cl)ccc1CN1CCN(CC(=O)N2c3ccccc3C[C@H]2C)CC1,-0.477121255,training
N#Cc1ccc2[nH]cc(CN3CCN(c4ccc(Cl)cc4)CC3)c2c1,-1.462397998,training
Cc1nc(O)n(C2CCN(Cc3ccccc3)CC2)c1-c1ccccc1,-1.851258349,training
CO/N=C(\CCN1CCN(c2ccccn2)CC1)c1ccc(Cl)cc1,-1.582063363,training
COc1ccc(CN2CCO[C@H](COc3cccc(C#N)c3)C2)cc1Cl,-1.556302501,training
CCc1cccc(N2CCN(CC(O)CCNC(=O)c3nc(C)c[nH]3)CC2)c1Cl,-3.292256071,training
c1ccc(CCC2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,-0.255272505,training
C[C@@H]1Cc2ccccc2N1C(=O)CN1CCN(Cc2ccc(Cl)c(Cl)c2)CC1,-1.633468456,training
CN1CCc2ccccc2Cc2ccc(O)cc2CC1,-1.053078443,training
Cc1c(-c2ccccc2)nc(O)n1C1CCN(CCc2ccccc2)CC1,0.251811973,training
CCCn1ncc2c1-c1c(Cl)sc(Cl)c1CCC2,-3.549983611,training
Cc1oc(C)c2c1CCCc1cnn(C)c1-2,-1.041392685,training
CCCC(C)(C)C(=O)NCCCCN1CCN(c2ccc(Cl)cc2)CC1,-1.10002573,training
COc1ccccc1N1CCN(CCCNC(=O)NN(Cc2ccc(C#N)cc2)c2ccc(F)cc2)CC1,-1.176091259,training
O=c1ccc2ccc(CN3CCC(c4ccccc4)CC3)cc2o1,-1.278753601,training
OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ncccc23)C1,-3.083860801,training
N#CC(C#N)=Cc1cc(CN2CCN(c3ccccc3)CC2)c[nH]1,-0.591064607,training
c1ccc(N2CCN(Cc3nc4ccccc4[nH]3)CC2)nc1,-2.222716471,training
COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(CCF)cc2)CC1,-2.905256049,training
Fc1ccc(CN2CCOC(CCc3ccccc3)C2)cc1,-2.505149978,training
COc1ccccc1N1CCN(Cc2cc(CO)c3cccccc2-3)CC1,0.148741651,training
Clc1ccc(N2CCN(Cc3cnn4ccc5ccccc5c34)CC2)cc1,-3.255272505,training
C#Cc1cccc(C(=O)NCCCCN2CCN(c3ccccc3OC)CC2)c1,-1.204119983,training
OC(COc1cccc2ccccc12)CN1CCC(Cc2ccc(Cl)cc2)CC1,-1.653212514,training
Nc1nc(-c2ccc(Cl)cc2)cc(C2CCN(Cc3ccccc3)CC2)n1,0.0,training
COc1ccc2c3c(c(=O)oc2c1)CN(Cc1ccccc1Cl)CC3,-1.531478917,training
c1ccc(CN2CCC(NCc3csc(-c4ccccc4)n3)CC2)cc1,-1.72427587,training
O=C(NC1CCN(Cc2cccc(Cl)c2)CC1)c1cccc2ccccc12,-2.064457989,training
c1ccc(Cc2ccccc2OCCN2CCCCC2)cc1,-3.650890078,training
COc1cc(CN2CCN(c3ccccc3OC)CC2)ccc1OCCCc1cn(CCCCCCCCn2cc(CCCOc3ccc(CN4CCN(C5CCCCC5)CC4)cc3OC)nn2)nn1,-1.278753601,training
O=C(NCCCCN1CCN(c2ccccc2Cl)CC1)c1ccc(-c2ccccc2)cc1,-2.37999404,training
Oc1ccc2[nH]cc(CCCCN3CC=C(c4ccccc4)CC3)c2c1,-1.380211242,training
c1ccc(CN2CCC(NCc3coc(-c4ccccc4)n3)CC2)cc1,-2.544068044,training
COc1ccccc1N1CCN(CCN(C(=O)C23CCC(CF)(CC2)C3)c2ccccn2)CC1,-1.963787827,training
CS(=O)(=O)Nc1cccc(OCCNCc2ccccc2)c1,-2.698970004,training
Clc1ccc(N2CCN(Cc3cnn4c(N5CCN(Cc6ccccc6)CC5)cccc34)CC2)cc1,-2.255272505,training
