smiles,CHEMBL4005_Ki,group
COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,-2.0791812460476247,training
O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,-3.778151250383644,training
CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,-0.8061799739838872,training
COc1ccc(NC(=O)c2c(C)ccc3c(N)nc(C)nc23)cn1,-2.0,test
COc1ccc(NC(=O)c2cc(C)cc3c(N)nc(C)nc23)cn1,0.3010299956639812,valid
Cc1nc(N)c2ccc(C)c(C(=O)Nc3ccn[nH]3)c2n1,-3.6580113966571126,training
Cc1cc(C(=O)Nc2ccn[nH]2)c2nc(C)nc(N)c2c1,-0.8450980400142568,training
Cc1nc(N)c2cc(CN3CCOCC3)cc(C(=O)Nc3ccn[nH]3)c2n1,-1.1760912590556811,training
Cc1nc(N)c2cc(CN(C)C)cc(C(=O)Nc3ccn[nH]3)c2n1,-2.27415784926368,training
Cc1ccc(NC(=O)c2cccc3c(N)nc(C)nc23)cn1,0.3010299956639812,training
Cc1ccc(NC(=O)c2c(C)ccc3c(N)nc(C)nc23)cn1,-3.6580113966571126,training
Cc1cc(C(=O)Nc2ccc(C)nc2)c2nc(C)nc(N)c2c1,0.3010299956639812,training
Cc1nc(N)c2cccc(C(=O)Nc3ccc(N(C)C)nc3)c2n1,-1.7323937598229686,training
Cc1nc(N)c2ccc(C)c(C(=O)Nc3ccc(N(C)C)nc3)c2n1,-2.0,training
Cc1cc(C(=O)Nc2ccc(N(C)C)nc2)c2nc(C)nc(N)c2c1,-1.0791812460476249,training
Cc1nc(N)c2cccc(C(=O)Nc3cnc4[nH]ccc4c3)c2n1,-0.0,training
Cc1nc(N)c2ccc(C)c(C(=O)Nc3cnc4[nH]ccc4c3)c2n1,-2.8000293592441343,training
Cc1cc(C(=O)Nc2cnc3[nH]ccc3c2)c2nc(C)nc(N)c2c1,0.5228787452803376,test
Cc1nc(N)c2cccc(C(=O)Nc3cn[nH]c3)c2n1,-0.7781512503836436,training
Cc1nc(N)c2ccc(C)c(C(=O)Nc3cn[nH]c3)c2n1,-2.0,training
Cc1cc(C(=O)Nc2cn[nH]c2)c2nc(C)nc(N)c2c1,-0.6989700043360189,test
