smiles,HalfLife
CC[C@H](C)C1NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(=O)O)NC(=O)C(CCSC)NC(=O)C(CCCNC(=N)N)NC(=O)CNC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)C(N)CO)CSSCC(C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)NC(Cc2ccccc2)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc2ccc(O)cc2)C(=O)O)NC(=O)CNC(=O)C(CC(C)C)NC(=O)CNC(=O)C(CO)NC(=O)C(CCC(N)=O)NC(=O)C(C)NC(=O)CNC1=O,-0.657577319
Nc1ccn([C@H]2CO[C@@H](CO)S2)c(=O)n1,1.283301229
Nc1ccn([C@@H]2CO[C@H](CO)S2)c(=O)n1,0.950364854
O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](OC(=O)C=Cc2ccc(O)c(O)c2)(C(=O)O)C[C@@H](O)[C@H]1O,0.136720567
CC(=O)O[C@H]1C[C@]2(O)[C@H]3CC[C@H]4C[C@H](O[C@H]5C[C@@H](O)[C@@H](O[C@H]6C[C@@H](O)[C@@H](O[C@H]7C[C@@H](O)[C@@H](O)[C@H](C)O7)[C@H](C)O6)[C@H](C)O5)CC[C@@]4(C)[C@H]3CC[C@]2(C)[C@H]1C1=CC(=O)OC1,1.712649702
NC1(C(=O)O)CC1,0.770852012
O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1[C@H](O)C[C@@](O)(C(=O)O)C[C@H]1OC(=O)C=Cc1ccc(O)c(O)c1,-0.244125144
O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](OC(=O)C=Cc2ccc(O)c(O)c2)[C@H]1O,0.501059262
C[C@@H](N)[C@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)[C@@H](O)[C@@H](O)[C@@H](N(C)C(=O)CN)[C@H]2O)O1,0.462397998
CCc1nc2c(N)nc3ccccc3c2n1CCCCNS(C)(=O)=O,0.851258349
Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,0.0
COc1cc2c(cc1OC)CN(c1cc(N)c3cc(OC)c(OC)cc3n1)CC2,0.770852012
CN(C)Cc1c(C(=O)NCCOc2ccc(C(O)=NO)cc2)oc2ccccc12,0.770852012
COC(=O)C1(OC(=O)c2cncn2[C@H](C)c2ccccc2)CC1,-0.619788758
CC(=O)NCCCS(=O)(=O)O,0.505149978
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](OC(C(=O)C(O)CO)[C@H](O)CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,0.431363764
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,0.544068044
CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,0.806179974
CC(=O)C[C@H](c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,0.858537198
CC(=O)Nc1ccc(O)cc1,0.397940009
CC(=O)Nc1nnc(S(N)(=O)=O)s1,1.113943352
CC(=O)NC(CS)C(=O)O,0.740362689
CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,1.255272505
CC(=O)Oc1ccccc1C(=O)O,-0.585026652
CSCCC(N)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCN=C(N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)O,-1.22184875
NC(C(=O)O)C1CC(Cl)=NO1,0.995635195
