smiles,CHEMBL2047_EC50,group
C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,-3.4771212547196626,training
C[C@H](CCC(=O)O)C1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1(C)CC[C@@H](O)CC1[C@@H](C)[C@H]3O,-2.8750612633917,training
C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,-3.4771212547196626,training
CCC[C@@H]1C2C[C@H](O)CC[C@]2(C)[C@H]2CC[C@]3(C)C([C@H](C)CCC(=O)O)CC[C@H]3[C@@H]2[C@@H]1O,-3.0453229787866576,training
CC(C)c1onc(-c2c(Cl)cccc2Br)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,-1.0791812460476249,training
Cc1cc(OCc2c(-c3c(Cl)cccc3Cl)noc2C(C)C)ccc1/C=C/c1cccc(C(=O)O)c1,-1.6720978579357175,training
CCc1onc(Cc2c(Cl)cccc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,-1.7781512503836436,training
CCc1onc(-c2c(F)cccc2C(F)(F)F)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,-1.7323937598229686,training
Cc1cc(OCc2c(-c3c(Cl)cccc3Cl)noc2C(C)C)cc(C)c1/C=C/c1ccc(C(=O)O)cc1,-1.568201724066995,training
Cc1cc(OCc2c(-c3c(Cl)cccc3Cl)noc2C)cc(C)c1/C=C/c1cccc(C(=O)O)c1,-1.845098040014257,test
Cc1cc(OCc2c(-c3c(Cl)cccc3Cl)noc2C(C)C)cc(C)c1/C=C/c1cccc(C(=O)O)c1,-2.0,training
CCc1onc(-c2ccccc2OC(F)(F)F)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,-1.6812412373755872,test
CCc1onc(-c2c(Cl)cccc2Cl)c1COc1cc(C)c(/C=C/c2ccc(C(=O)O)cc2)c(C)c1,-2.0,valid
C=CC[C@@H]1C2C[C@H](O)CC[C@]2(C)[C@H]2CC[C@]3(C)C([C@H](C)CCC(=O)O)CC[C@H]3[C@@H]2[C@@H]1O,-2.681241237375587,training
C[C@H](CCC(=O)O)C1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1(C)CC[C@@H](O)CC1[C@@H](CCO)[C@H]3O,-4.786396461372305,training
C#CC[C@@H]1C2C[C@H](O)CC[C@]2(C)[C@H]2CC[C@]3(C)C([C@H](C)CCC(=O)O)CC[C@H]3[C@@H]2[C@@H]1O,-2.7323937598229686,training
CO[C@@H]1C2C[C@H](O)CC[C@]2(C)[C@H]2CC[C@]3(C)C([C@H](C)CCC(=O)O)CC[C@H]3[C@@H]2[C@@H]1O,-4.168202746842631,training
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CCCC[C@H]1C[C@H]3O,-3.113943352306837,training
C[C@@H](C1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1(C)CC[C@@H](O)CC1C[C@H]3O)[C@H](O)CC(=O)O,-4.520876381688342,training
C[C@H](CCN)C1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1(C)CC[C@@H](O)CC1C[C@H]3O,-3.9858753573083936,training
CCOC(=O)NCC[C@@H](C)C1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1(C)CC[C@@H](O)CC1C[C@H]3O,-3.4345689040341987,test
C[C@H](CCCOS(=O)(=O)O)C1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1(C)CC[C@@H](O)CC1C[C@H]3O,-3.777426822389312,training
C[C@H](CCCS(=O)(=O)O)C1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1(C)CC[C@@H](O)CC1C[C@H]3O,-3.6580113966571126,training
COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3c(Cl)cccc3Cl)cc2)C(=O)C(C)C)c1,-2.290034611362518,training
COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2)C(=O)C2CCCCC2)c1,-3.167317334748176,training
COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2)C(=O)C(C)C)c1,-3.290034611362518,training
COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3cccc(C(F)(F)F)c3)cc2)C(=O)C(C)C)c1,-2.4265112613645754,training
COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3cccc(C(F)(F)F)c3)cc2)C(=O)NC(C)C)c1,-2.9694159123539814,test
COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3c(F)cccc3F)cc2)C(=O)C(C)C)c1,-2.03342375548695,test
COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3ccccc3F)cc2)C(=O)C2CCCCC2)c1,-1.806179973983887,training
COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3ccccc3F)cc2)C(=O)NC(C)C)c1,-2.6344772701607315,training
COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3c(C)cc(C)cc3C)cc2)C(=O)C(C)C)c1,-2.173186268412274,training
COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3c(C)cc(C)cc3C)cc2)C(=O)NC(C)C)c1,-2.6344772701607315,test
COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3cccc(F)c3)cc2)C(=O)C2CCCCC2)c1,-1.934498451243568,training
