smiles,CHEMBL235_EC50,group
CCCC/C(=C\c1cc(OCCc2ccccc2)cc(OCCc2ccccc2)c1)C(=O)O,-3.89209460269048,training
Cc1cc(Oc2cccc(CNC(=O)c3ccc(C(F)(F)F)cc3F)c2)ccc1OC(C)(C)C(=O)O,-1.38021124171161,training
Cc1ccc(OCCCOc2ccc3c(c2)OCC3CC(=O)O)cc1,-3.25767857486918,training
CN(C/C=C/c1ccc(C[C@@H](C(=O)O)n2cccc2)cc1)c1ccccn1,-2.69196510276736,training
Cc1c(C)n(Cc2ccc(-c3ccccc3C(=O)O)cc2)c2ccc(C(=O)NCc3ccccc3[N+](=O)[O-])cc12,-2.91960102378411,training
Cc1cc(CN2Cc3ccccc3C[C@@H]2C(=O)Nc2ccc(Cl)cc2Cl)ccc1OCC(=O)O,-2.90308998699194,training
CCCCCCC(Sc1nc(Cl)cc(Nc2nc(-c3ccc(C)cc3)cs2)n1)C(=O)O,-3.85733249643127,training
CCCc1c(OCCCOc2ccc(OCC(=O)O)cc2)ccc2c(-c3ccccc3)noc12,-1.8750612633917,training
CCCO/N=C(\C)C(Cc1ccc(OCc2nc(C(C)C)oc2C)cc1)C(=O)O,-0.698970004336019,training
O=C(O)CCCc1cc2cc(C(F)(F)F)ccc2n1S(=O)(=O)c1cccc(OC(F)(F)F)c1,-2.30319605742049,training
CC[C@@H](Oc1cccc(-n2c(C)c(C(=O)c3ccc(OC)cc3)c3ccc(OC(F)(F)F)cc32)c1)C(=O)O,-0.301029995663981,training
CCCCCCC(Sc1nc2ccc(NC(=O)c3ccc(C(C)(C)C)cc3)cc2s1)C(=O)O,-3.63346845557959,training
N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O,-3.40000061697638,training
CCCCCS(=O)(=O)NC(=O)/C=C/c1ccc(OCCOC)cc1Oc1ncc(Cl)cc1Cl,-2.27875360095283,training
