smiles,Tox21_NR_ER,group
Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,0,training
CC(CCC(=O)O)(c1ccc(O)cc1)c1ccc(O)cc1,1,training
COc1ccc(NC(C)=O)cc1N,1,training
CCCCC(CC)COC(=O)c1ccc(N(C)C)cc1,0,training
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,1,training
CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0,training
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,1,training
CC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,1,training
OCCOCC#CCOCCO,0,training
CC(=O)N(C)C,0,training
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0,training
Cc1cc(O)ccc1Cl,1,training
CC1(C)O[C@H]2CC(=O)OC[C@]23[C@H]2CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)C5O[C@]54[C@]2(C)C(=O)C[C@@H]13,1,training
CCN(CC)CCOC(=O)C(c1ccccc1)C1CCCCC1,0,training
O=c1c(CC[S+]([O-])c2ccccc2)c(O)n(-c2ccccc2)n1-c1ccccc1,0,training
COc1ccc(N=[N+]([O-])c2ccc(OC)cc2)cc1,1,training
CCCC(=O)OC(=O)CCC,0,training
CC(C)(C)c1ccccc1O,0,training
CC(C)(C)OC(=O)c1ccc(O)cc1,1,training
CCOc1ccc2c(c1)C(C)CC(C)(C)N2,0,training
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,1,training
Clc1cc(Cl)c(Cl)cc1Cl,1,training
COC(=O)c1ccccc1OC,0,training
CCCCCCCCCCCCCCCCC,1,training
