smiles,Tox21_NR_ER,group
Oc1cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2[nH]1,0.0,training
CC(C)(C)OC(=O)c1cccc(N)c1,1.0,training
CN(C)CCC(c1ccccc1)c1ccccn1,1.0,training
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0.0,training
CCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)C=C(C)[C@]4(C)[C@H]3CC[C@]12C,1.0,training
CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O)C=CC=CC[C@@H](C)OC(=O)C[C@H]1O,1.0,training
COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,0.0,training
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,1.0,training
CC(=O)C1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1.0,training
C=C(C)C(=O)OCCCCCCCCCCOC(=O)C(=C)C,0.0,training
NCCS,0.0,training
CC1CN(c2ccccc2)NC1=O,1.0,training
C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(OCCO)c(OCCO)c4)oc4cc(OCCO)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,0.0,training
CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1,0.0,training
NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,1.0,training
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,1.0,training
C/C=C(/C)C#N,0.0,training
C[C@]12CC[C@@H]3c4ccc(O)cc4C=CC3[C@@H]1CCC2=O,1.0,training
O=C(C(=O)c1ccc(Br)cc1)c1ccc(Br)cc1,0.0,training
COc1ccc(CCN(C)CCCN2CCc3cc(OC)c(OC)cc3CC2=O)cc1OC,0.0,training
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3C(=C)C[C@@]21CC,1.0,training
CC(C)NCC(O)COc1cccc2ccccc12,1.0,training
CNCc1ccc(NC(=O)c2c[nH]c3c2C(=O)CCC3)cc1,0.0,training
[Be+2],0.0,training
CC[C@H](O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,0.0,training
NS(=O)(=O)Cc1noc2ccccc12,0.0,training
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,0.0,training
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,1.0,training
Cl[Yb](Cl)Cl,0.0,training
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,1.0,training
Cc1cc(=O)[nH]c(C(C)C)n1,0.0,training
